,Mainline,Fork,Pr nr,Filename,Operation,File classification,Interesting
79,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/ClientQuotasImageNode.java,None,NOT EXISTING,0
80,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/ClusterImageNode.java,None,NOT EXISTING,0
81,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/ConfigurationImageNode.java,None,NOT EXISTING,0
82,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/ConfigurationsImageNode.java,None,NOT EXISTING,0
83,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/FeaturesImageNode.java,None,NOT EXISTING,0
84,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/MetadataImageNode.java,None,NOT EXISTING,0
85,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/MetadataLeafNode.java,None,NOT EXISTING,0
86,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/MetadataNode.java,None,NOT EXISTING,0
87,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/ProducerIdsImageNode.java,None,NOT EXISTING,0
88,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/ProvenanceNode.java,None,NOT EXISTING,0
89,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/ScramCredentialDataNode.java,None,NOT EXISTING,0
90,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/ScramImageNode.java,None,NOT EXISTING,0
91,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/ScramMechanismNode.java,None,NOT EXISTING,0
92,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/TopicImageNode.java,None,NOT EXISTING,0
93,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/TopicsImageByIdNode.java,None,NOT EXISTING,0
94,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/TopicsImageByNameNode.java,None,NOT EXISTING,0
95,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/TopicsImageNode.java,None,NOT EXISTING,0
96,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/printer/MetadataNodePrinter.java,None,NOT EXISTING,0
97,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/printer/MetadataNodeRedactionCriteria.java,None,NOT EXISTING,0
98,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/image/node/printer/NodeStringifier.java,None,NOT EXISTING,0
99,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/metadata/migration/KRaftMigrationDriver.java,None,NOT EXISTING,0
100,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/metadata/migration/LegacyPropagator.java,None,NOT EXISTING,0
101,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/metadata/util/SnapshotFileReader.java,None,NOT EXISTING,0
103,apache/kafka,linkedin/kafka,13767,metadata/src/test/java/org/apache/kafka/image/node/ClientQuotasImageNodeTest.java,None,NOT EXISTING,0
104,apache/kafka,linkedin/kafka,13767,metadata/src/test/java/org/apache/kafka/image/node/ConfigurationImageNodeTest.java,None,NOT EXISTING,0
105,apache/kafka,linkedin/kafka,13767,metadata/src/test/java/org/apache/kafka/image/node/ConfigurationsImageNodeTest.java,None,NOT EXISTING,0
106,apache/kafka,linkedin/kafka,13767,metadata/src/test/java/org/apache/kafka/image/node/ScramCredentialDataNodeTest.java,None,NOT EXISTING,0
107,apache/kafka,linkedin/kafka,13767,metadata/src/test/java/org/apache/kafka/image/node/printer/MetadataNodeRedactionCriteriaTest.java,None,NOT EXISTING,0
108,apache/kafka,linkedin/kafka,13767,metadata/src/test/java/org/apache/kafka/image/node/printer/NodeStringifierTest.java,None,NOT EXISTING,0
109,apache/kafka,linkedin/kafka,13767,metadata/src/test/java/org/apache/kafka/metadata/migration/KRaftMigrationDriverTest.java,None,NOT EXISTING,0
110,apache/kafka,linkedin/kafka,13767,server-common/src/main/java/org/apache/kafka/server/common/MetadataVersion.java,None,NOT EXISTING,0
111,apache/kafka,linkedin/kafka,13767,server-common/src/test/java/org/apache/kafka/server/common/MetadataVersionTest.java,None,NOT EXISTING,0
116,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/CatCommandHandler.java,None,NOT EXISTING,0
117,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/CdCommandHandler.java,None,NOT EXISTING,0
118,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/CommandUtils.java,None,NOT EXISTING,0
119,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/Commands.java,None,NOT EXISTING,0
120,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/ErroneousCommandHandler.java,None,NOT EXISTING,0
121,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/ExitCommandHandler.java,None,NOT EXISTING,0
122,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/FindCommandHandler.java,None,NOT EXISTING,0
123,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/HelpCommandHandler.java,None,NOT EXISTING,0
124,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/HistoryCommandHandler.java,None,NOT EXISTING,0
125,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/LsCommandHandler.java,None,NOT EXISTING,0
126,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/ManCommandHandler.java,None,NOT EXISTING,0
127,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/NoOpCommandHandler.java,None,NOT EXISTING,0
128,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/PwdCommandHandler.java,None,NOT EXISTING,0
129,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/command/TreeCommandHandler.java,None,NOT EXISTING,0
130,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/glob/GlobComponent.java,None,NOT EXISTING,0
131,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/glob/GlobVisitor.java,None,NOT EXISTING,0
132,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/node/LocalShellNode.java,None,NOT EXISTING,0
133,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/node/RootShellNode.java,None,NOT EXISTING,0
134,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/node/printer/ShellNodePrinter.java,None,NOT EXISTING,0
135,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/state/MetadataShellPublisher.java,None,NOT EXISTING,0
