,Mainline,Fork,Pr nr,Patch classification,Interesting
187,apache/kafka,linkedin/kafka,18272,CC,0
175,apache/kafka,linkedin/kafka,18323,NA,0
206,apache/kafka,linkedin/kafka,18159,NA,0
201,apache/kafka,linkedin/kafka,18186,NA,0
205,apache/kafka,linkedin/kafka,18162,NA,0
202,apache/kafka,linkedin/kafka,18177,CC,0
203,apache/kafka,linkedin/kafka,18175,NE,0
215,apache/kafka,linkedin/kafka,18075,NA,0
210,apache/kafka,linkedin/kafka,18127,NE,0
209,apache/kafka,linkedin/kafka,18143,NE,0
216,apache/kafka,linkedin/kafka,18067,NA,0
219,apache/kafka,linkedin/kafka,18062,NE,0
220,apache/kafka,linkedin/kafka,18051,NE,0
218,apache/kafka,linkedin/kafka,18064,NE,0
217,apache/kafka,linkedin/kafka,18065,NE,0
223,apache/kafka,linkedin/kafka,18037,CC,0
222,apache/kafka,linkedin/kafka,18042,CC,0
224,apache/kafka,linkedin/kafka,18032,NA,0
225,apache/kafka,linkedin/kafka,18030,NA,0
227,apache/kafka,linkedin/kafka,18023,NA,0
226,apache/kafka,linkedin/kafka,18029,NE,0
228,apache/kafka,linkedin/kafka,18021,NE,0
230,apache/kafka,linkedin/kafka,18005,NA,0
