,Mainline,Fork,Pr nr,Patch classification,Interesting
100,apache/kafka,linkedin/kafka,18767,ED,1
97,apache/kafka,linkedin/kafka,18796,MO,1
1231,apache/kafka,linkedin/kafka,12709,ED,1
1229,apache/kafka,linkedin/kafka,12713,MO,1
1226,apache/kafka,linkedin/kafka,12720,MO,1
1221,apache/kafka,linkedin/kafka,12735,MO,1
1219,apache/kafka,linkedin/kafka,12743,MO,1
1218,apache/kafka,linkedin/kafka,12745,MO,1
1217,apache/kafka,linkedin/kafka,12749,ED,1
1215,apache/kafka,linkedin/kafka,12752,MO,1
1214,apache/kafka,linkedin/kafka,12753,MO,1
1212,apache/kafka,linkedin/kafka,12768,MO,1
1211,apache/kafka,linkedin/kafka,12771,ED,1
1210,apache/kafka,linkedin/kafka,12772,MO,1
1209,apache/kafka,linkedin/kafka,12774,ED,1
1206,apache/kafka,linkedin/kafka,12789,MO,1
1202,apache/kafka,linkedin/kafka,12808,MO,1
1201,apache/kafka,linkedin/kafka,12813,SP,1
1200,apache/kafka,linkedin/kafka,12822,SP,1
127,apache/kafka,linkedin/kafka,18632,MO,1
126,apache/kafka,linkedin/kafka,18635,MO,1
124,apache/kafka,linkedin/kafka,18647,MO,1
123,apache/kafka,linkedin/kafka,18657,MO,1
117,apache/kafka,linkedin/kafka,18680,MO,1
116,apache/kafka,linkedin/kafka,18681,MO,1
115,apache/kafka,linkedin/kafka,18684,MO,1
113,apache/kafka,linkedin/kafka,18696,MO,1
112,apache/kafka,linkedin/kafka,18710,MO,1
137,apache/kafka,linkedin/kafka,18548,MO,1
136,apache/kafka,linkedin/kafka,18549,SP,1
129,apache/kafka,linkedin/kafka,18616,MO,1
128,apache/kafka,linkedin/kafka,18627,MO,1
1199,apache/kafka,linkedin/kafka,12829,MO,1
1198,apache/kafka,linkedin/kafka,12836,MO,1
1197,apache/kafka,linkedin/kafka,12840,MO,1
1196,apache/kafka,linkedin/kafka,12841,MO,1
1195,apache/kafka,linkedin/kafka,12842,MO,1
1193,apache/kafka,linkedin/kafka,12857,MO,1
1192,apache/kafka,linkedin/kafka,12859,MO,1
1189,apache/kafka,linkedin/kafka,12875,MO,1
1187,apache/kafka,linkedin/kafka,12882,SP,1
1185,apache/kafka,linkedin/kafka,12893,SP,1
1184,apache/kafka,linkedin/kafka,12908,MO,1
158,apache/kafka,linkedin/kafka,18435,ED,1
157,apache/kafka,linkedin/kafka,18436,MO,1
155,apache/kafka,linkedin/kafka,18451,MO,1
154,apache/kafka,linkedin/kafka,18467,SP,1
149,apache/kafka,linkedin/kafka,18487,ED,1
148,apache/kafka,linkedin/kafka,18492,MO,1
145,apache/kafka,linkedin/kafka,18509,MO,1
1183,apache/kafka,linkedin/kafka,12910,SP,1
1182,apache/kafka,linkedin/kafka,12912,MO,1
1181,apache/kafka,linkedin/kafka,12915,MO,1
1180,apache/kafka,linkedin/kafka,12920,MO,1
1179,apache/kafka,linkedin/kafka,12921,MO,1
1178,apache/kafka,linkedin/kafka,12931,MO,1
1177,apache/kafka,linkedin/kafka,12935,MO,1
1175,apache/kafka,linkedin/kafka,12939,MO,1
1173,apache/kafka,linkedin/kafka,12959,ED,1
1172,apache/kafka,linkedin/kafka,12968,SP,1
1170,apache/kafka,linkedin/kafka,12984,MO,1
174,apache/kafka,linkedin/kafka,18324,ED,1
173,apache/kafka,linkedin/kafka,18327,ED,1
171,apache/kafka,linkedin/kafka,18340,MO,1
170,apache/kafka,linkedin/kafka,18348,MO,1
169,apache/kafka,linkedin/kafka,18369,MO,1
168,apache/kafka,linkedin/kafka,18373,MO,1
167,apache/kafka,linkedin/kafka,18381,MO,1
166,apache/kafka,linkedin/kafka,18382,MO,1
165,apache/kafka,linkedin/kafka,18383,MO,1
1167,apache/kafka,linkedin/kafka,13008,SP,1
1166,apache/kafka,linkedin/kafka,13014,MO,1
1163,apache/kafka,linkedin/kafka,13022,MO,1
1160,apache/kafka,linkedin/kafka,13025,MO,1
1158,apache/kafka,linkedin/kafka,13032,MO,1
1157,apache/kafka,linkedin/kafka,13039,MO,1
1156,apache/kafka,linkedin/kafka,13041,MO,1
1153,apache/kafka,linkedin/kafka,13055,MO,1
191,apache/kafka,linkedin/kafka,18258,MO,1
188,apache/kafka,linkedin/kafka,18269,MO,1
186,apache/kafka,linkedin/kafka,18279,MO,1
184,apache/kafka,linkedin/kafka,18287,SP,1
183,apache/kafka,linkedin/kafka,18289,MO,1
182,apache/kafka,linkedin/kafka,18296,MO,1
178,apache/kafka,linkedin/kafka,18310,ED,1
176,apache/kafka,linkedin/kafka,18317,MO,1
1149,apache/kafka,linkedin/kafka,13089,MO,1
1147,apache/kafka,linkedin/kafka,13108,MO,1
1146,apache/kafka,linkedin/kafka,13118,MO,1
1144,apache/kafka,linkedin/kafka,13130,MO,1
1143,apache/kafka,linkedin/kafka,13132,ED,1
1140,apache/kafka,linkedin/kafka,13140,MO,1
1139,apache/kafka,linkedin/kafka,13141,MO,1
1138,apache/kafka,linkedin/kafka,13151,MO,1
1136,apache/kafka,linkedin/kafka,13164,SP,1
207,apache/kafka,linkedin/kafka,18151,MO,1
204,apache/kafka,linkedin/kafka,18165,SP,1
200,apache/kafka,linkedin/kafka,18191,ED,1
198,apache/kafka,linkedin/kafka,18199,MO,1
196,apache/kafka,linkedin/kafka,18211,MO,1
1134,apache/kafka,linkedin/kafka,13168,ED,1
1132,apache/kafka,linkedin/kafka,13178,MO,1
1131,apache/kafka,linkedin/kafka,13182,MO,1
1130,apache/kafka,linkedin/kafka,13183,MO,1
1129,apache/kafka,linkedin/kafka,13194,MO,1
1128,apache/kafka,linkedin/kafka,13206,MO,1
1127,apache/kafka,linkedin/kafka,13207,MO,1
1126,apache/kafka,linkedin/kafka,13212,MO,1
1125,apache/kafka,linkedin/kafka,13219,MO,1
1122,apache/kafka,linkedin/kafka,13233,MO,1
221,apache/kafka,linkedin/kafka,18050,MO,1
214,apache/kafka,linkedin/kafka,18098,MO,1
213,apache/kafka,linkedin/kafka,18108,ED,1
212,apache/kafka,linkedin/kafka,18109,MO,1
211,apache/kafka,linkedin/kafka,18123,ED,1
208,apache/kafka,linkedin/kafka,18146,MO,1
1119,apache/kafka,linkedin/kafka,13284,ED,1
1116,apache/kafka,linkedin/kafka,13294,MO,1
1115,apache/kafka,linkedin/kafka,13295,ED,1
1114,apache/kafka,linkedin/kafka,13315,MO,1
1109,apache/kafka,linkedin/kafka,13336,MO,1
1108,apache/kafka,linkedin/kafka,13348,SP,1
1107,apache/kafka,linkedin/kafka,13358,MO,1
1105,apache/kafka,linkedin/kafka,13360,MO,1
239,apache/kafka,linkedin/kafka,17970,MO,1
237,apache/kafka,linkedin/kafka,17979,MO,1
234,apache/kafka,linkedin/kafka,17991,MO,1
231,apache/kafka,linkedin/kafka,18004,MO,1
229,apache/kafka,linkedin/kafka,18011,MO,1
1103,apache/kafka,linkedin/kafka,13372,MO,1
1099,apache/kafka,linkedin/kafka,13401,SP,1
1098,apache/kafka,linkedin/kafka,13403,MO,1
1096,apache/kafka,linkedin/kafka,13424,MO,1
1095,apache/kafka,linkedin/kafka,13427,MO,1
1094,apache/kafka,linkedin/kafka,13441,MO,1
1090,apache/kafka,linkedin/kafka,13462,SP,1
1087,apache/kafka,linkedin/kafka,13477,MO,1
1083,apache/kafka,linkedin/kafka,13512,SP,1
1081,apache/kafka,linkedin/kafka,13523,SP,1
1075,apache/kafka,linkedin/kafka,13582,MO,1
248,apache/kafka,linkedin/kafka,17917,MO,1
247,apache/kafka,linkedin/kafka,17919,ED,1
242,apache/kafka,linkedin/kafka,17954,MO,1
1071,apache/kafka,linkedin/kafka,13607,MO,1
1070,apache/kafka,linkedin/kafka,13612,MO,1
1066,apache/kafka,linkedin/kafka,13634,MO,1
1062,apache/kafka,linkedin/kafka,13649,MO,1
1060,apache/kafka,linkedin/kafka,13654,ED,1
1059,apache/kafka,linkedin/kafka,13657,MO,1
1058,apache/kafka,linkedin/kafka,13661,MO,1
1054,apache/kafka,linkedin/kafka,13684,MO,1
1045,apache/kafka,linkedin/kafka,13734,ED,1
1044,apache/kafka,linkedin/kafka,13739,MO,1
1042,apache/kafka,linkedin/kafka,13747,MO,1
1040,apache/kafka,linkedin/kafka,13752,MO,1
270,apache/kafka,linkedin/kafka,17782,MO,1
269,apache/kafka,linkedin/kafka,17785,MO,1
268,apache/kafka,linkedin/kafka,17788,MO,1
267,apache/kafka,linkedin/kafka,17805,MO,1
265,apache/kafka,linkedin/kafka,17819,MO,1
264,apache/kafka,linkedin/kafka,17822,MO,1
263,apache/kafka,linkedin/kafka,17834,MO,1
258,apache/kafka,linkedin/kafka,17855,MO,1
257,apache/kafka,linkedin/kafka,17856,MO,1
1036,apache/kafka,linkedin/kafka,13758,MO,1
1034,apache/kafka,linkedin/kafka,13767,MO,1
1033,apache/kafka,linkedin/kafka,13773,MO,1
1029,apache/kafka,linkedin/kafka,13801,ED,1
1028,apache/kafka,linkedin/kafka,13804,MO,1
1025,apache/kafka,linkedin/kafka,13808,ED,1
286,apache/kafka,linkedin/kafka,17701,MO,1
285,apache/kafka,linkedin/kafka,17702,MO,1
283,apache/kafka,linkedin/kafka,17709,MO,1
282,apache/kafka,linkedin/kafka,17711,MO,1
280,apache/kafka,linkedin/kafka,17720,ED,1
275,apache/kafka,linkedin/kafka,17739,MO,1
274,apache/kafka,linkedin/kafka,17749,MO,1
273,apache/kafka,linkedin/kafka,17755,MO,1
1018,apache/kafka,linkedin/kafka,13867,MO,1
1016,apache/kafka,linkedin/kafka,13877,MO,1
1015,apache/kafka,linkedin/kafka,13882,MO,1
1014,apache/kafka,linkedin/kafka,13883,MO,1
